formula,Property Band gap values Clean,Property Reliability,Property Band gap method
KI,5.92,2,Absorption
InSb,0.175,2,Absorption
Se,1.77,2,Absorption
SnO$_{2}$,3.631,2,Absorption
FeSi$_{2}$,0.88,2,
TlS,1.36,1,Reflection
Be$_{3}$Sb$_{2}$,0.67,1,Thermal activation
V$_{2}$O$_{5}$,1.95,2,Thermal activation
GaAs,1.507,2,
V$_{2}$O$_{5}$,2.3,2,Absorption
SnSe$_{2}$,1.03,1,Absorption
HgS,2.183,2,Absorption
Sm$_{2}$O$_{3}$,2.27,2,
As$_{2}$Te$_{3}$,0.9,2,
SbI$_{3}$,2.49,2,Absorption
KI,6.2,2,Absorption
EuS,1.645,1,Absorption
VO$_{2}$,0.65,1,Absorption
CdP$_{2}$,2.02,1,Absorption
Mg$_{2}$Si,2.17,2,Reflection
Mg$_{2}$Ge,1.737,2,
As$_{2}$Se$_{3}$,1.5,2,Absorption
Sm$_{2}$Se$_{3}$,2.3,1,Reflection
FeSb$_{2}$,0.05,2,Thermal activation
GaTe,1.74,2,
Ag$_{2}$Se,0.18,2,Thermal activation
K$_{3}$Sb,1,1,Thermal activation
Na$_{2}$Te,2,2,Estimated
ZnP$_{2}$,2.18,1,
CdBr$_{2}$,4.47,1,Reflection
TiO$_{2}$,2.9,2,Absorption
Yb$_{2}$O$_{3}$,2.99,1,Thermal activation
Sn,0.075,1,Absorption
GaS,2.53,2,Absorption
CuN$_{3}$,4.17,1,Absorption
SnTe,0.3,2,Thermal activation
Ag$_{2}$Te,0.064,2,
K$_{3}$Sb,1.1,2,Absorption
ZnAs$_{2}$,0.93,2,Absorption
Cr$_{3}$Se$_{4}$,0.015,1,Thermal activation
InSb,0.236,2,
As$_{2}$S$_{3}$,2.062,2,Absorption
ThO$_{2}$,2.56,2,Thermal activation
SnO$_{2}$,3.57,2,Reflection
Na$_{3}$Sb,1.1,1,Absorption
RbI,5.83,1,Absorption
SnS$_{2}$,2.6,2,Reflection
InSe,1.19,2,Reflection
CaO,7.03,2,Reflection
Bi,0.015,1,Magnetoreflection
V$_{2}$O$_{5}$,2.32,2,Absorption
TiO$_{2}$,3.3,1,Electroreflection
HgO,1.18,2,Thermal activation
SmB$_{6}$,4.9,1,Reflection
Se,1.81,2,Absorption
PbI$_{2}$,2.41,2,
NiAs$_{2}$,0.05,1,
Al$_{2}$S$_{3}$,4.1,1,Absorption
Hg$_{2}$Br$_{2}$,2.6,1,Absorption
ZnP$_{2}$,1.85,1,
TlBr,3.1,2,Absorption
PbSe,0.27,1,Reflection
Bi$_{0.92}$Sb$_{0.08}$,0.007,2,Thermal activation
Se,1.56,2,Absorption
RbI,6.37,2,Photoconduction
Cs$_{3}$Bi,0.55,1,Absorption
HgTe,0.303,2,Magnetoreflection
B,1.53,2,Absorption
KBr,7.6,1,Absorption
MnI$_{2}$,4.4,2,Absorption
CeO$_{2}$,1.1,2,Thermal activation
GaSb,0.81,2,
SiAs,1.57,2,Absorption
Si$_{3}$N$_{4}$,4.5,2,Absorption
As,0.172,2,Magnetoreflection
Tl$_{2}$S,0.19,2,Photoconduction
VO$_{2}$,0.4,2,Absorption
HgTe,0.19,2,
AgBr,2.68,2,Absorption
Ga$_{2}$Te$_{3}$,1.32,1,Reflection
AlB,0.5,2,Thermal activation
InAsI,0.41,2,
InAs,0.356,1,Magnetoabsorption
Se,2.4,2,Absorption
MoO$_{3}$,3.66,1,Thermal activation
As$_{2}$S$_{5}$,2.21,2,Absorption
GaSe,2.01,2,Thermal activation
FeSe$_{2}$,0.5,2,Thermal activation
Mg$_{2}$Ge,0.63,2,Photoconduction
Ag$_{2}$Te,0.28,2,
Cu$_{2}$Te,1.04,2,Reflection
MoTe$_{2}$,0.83,1,Absorption
GaAs,1.147,2,Absorption
GaN,3.39,2,Absorption
AgCl,3.08,2,Absorption
NaBr,7.5,1,Absorption
Ca$_{2}$Pb,0.46,1,Thermal activation
SrO,5.7,2,Reflection
WTe$_{2}$,0.075,2,Thermal activation
Bi$_{2}$Se$_{3}$,0.161,2,Absorption
SnS$_{2}$,2.21,2,Absorption
SrO,5.77,1,Absorption
RbCl,8.2,2,Absorption
SiC,2.39,2,Absorption
Ag$_{2}$Te,0.064,1,Absorption
NbSe$_{2}$,1.4,1,Reflection
WO$_{3}$,2.7,2,Absorption
Er$_{2}$O$_{3}$,3.26,1,Thermal activation
KBr,7.76,2,Absorption
Bi$_{2}$Se$_{3}$,0.21,1,Absorption
Mg$_{2}$Ge,0.567,2,Absorption
InS,1.86,1,Thermal activation
OsSb$_{2}$,0.2,1,Thermal activation
LaB$_{6}$,4.1,2,Absorption
Si,1.166,2,
As$_{2}$S$_{3}$,2.2,2,
ZnTe,2.25,1,Absorption
EuS,3.1,2,Absorption
Sb$_{2}$Se$_{3}$,1.1,2,Absorption
SnCl$_{2}$,3.9,1,Reflection
As$_{2}$S$_{3}$,2.32,2,Absorption
PrO,0.55,2,Thermal activation
ZnSb,0.5,2,Absorption
Mg$_{2}$Sn,0.36,2,Thermal activation
Ce$_{2}$Se$_{3}$,1.75,1,Reflection
Bi$_{2}$Te$_{3}$,0.15,2,Absorption
PbI$_{2}$,2.36,2,Reflection
Cu$_{2}$Te,1.15,2,Absorption
Nb$_{2}$S$_{3}$,0.12,1,Thermal activation
PbTe,0.34,2,Reflection
MoO$_{3}$,3.7,2,Absorption
SnSe$_{2}$,1.97,1,Reflection
Ge$_{0.542}$Si$_{0.458}$,2.238,2,Electroreflection
Te,0.343,2,Absorption
EuSe,1.78,1,Reflection
PbCl$_{2}$,4.1,2,Reflection
Cd$_{3}$P$_{2}$,0.52,1,Thermal activation
Mg$_{2}$Si,0.6,1,Estimated
NaCl,8.4,2,Absorption
Ga$_{2}$Te$_{3}$,1.13,1,Reflection
As$_{2}$S$_{3}$,2.56,2,Absorption
TiO$_{2}$,3.75,2,Absorption
RbI,6.1,2,Absorption
AsSe,1.01,1,Absorption
As$_{2}$S$_{3}$,2,2,Absorption
Pr$_{2}$Se$_{3}$,1.8,1,Reflection
Al$_{2}$Te$_{3}$,2.2,2,Thermal activation
