Q,y1,y2,y3,y4,y5,y6,y7,y8,y9,y10,y11,y12,y13,y14,y15,y16,y17,y18,y19,y20,y21
4.526770061,30.20808143,29.66376143,29.90681286,29.886095,29.88166571,29.88403714,29.61442571,30.60297857,30.60441286,32.33667,32.37146833,32.41136,32.53937,32.47855571,32.65585,32.63655857,32.74360286,32.95227286,33.07881286,33.02633571,33.09291714
4.527092621,30.22273857,29.66619857,29.90857143,29.8880375,29.88386,29.88474143,29.61498,30.60314143,30.60459714,32.33676,32.37116667,32.41069429,32.53182,32.47329429,32.64467,32.62947143,32.73390714,32.94608714,33.06997714,33.02275429,33.09402286
4.527547234,30.23739571,29.66863571,29.91033,29.88998,29.88640429,29.88544571,29.61588,30.60330429,30.60478143,32.33685,32.370865,32.41002857,32.52427,32.46803286,32.63349,32.62238429,32.72421143,32.93990143,33.06114143,33.01917286,33.09512857
4.527934737,30.25205286,29.67107286,29.91279,29.8919225,29.88894857,29.88615,29.61678,30.60346714,30.60496571,32.33694,32.37056333,32.40936286,32.51672,32.46277143,32.62231,32.61529714,32.71451571,32.93371571,33.05230571,33.01559143,33.09623429
4.528843957,30.26671,29.67351,29.91525,29.893865,29.89149286,29.88716857,29.61768,30.60363,30.60515,32.33703,32.37026167,32.40869714,32.50917,32.45751,32.61113,32.60821,32.70482,32.92753,33.04347,33.01201,33.09734
4.529118886,30.2848575,29.6769275,29.91771,29.8958075,29.89403714,29.88818714,29.61858,30.6038825,30.6051825,32.3371825,32.36996,32.40803143,32.50383875,32.4542725,32.60314625,32.60252875,32.69671875,32.9206925,33.0334,33.00590375,33.09689625
4.529220632,30.303005,29.680345,29.92017,29.89775,29.89658143,29.88920571,29.61948,30.604135,30.605215,32.337335,32.36968,32.40736571,32.4985075,32.451035,32.5951625,32.5968475,32.6886175,32.913855,33.02333,32.9997975,33.0964525
4.530281377,30.3211525,29.6837625,29.92263,29.90020286,29.89912571,29.89022429,29.62038,30.6043875,30.6052475,32.3374875,32.3694,32.4067,32.49317625,32.4477975,32.58717875,32.59116625,32.68051625,32.9070175,33.01326,32.99369125,33.09600875
4.530616918,30.3393,29.68718,29.92509,29.90265571,29.90167,29.89124286,29.62128,30.60464,30.60528,32.33764,32.36912,32.40625571,32.487845,32.44456,32.579195,32.585485,32.672415,32.90018,33.00319,32.987585,33.095565
4.531054201,30.3574475,29.6905975,29.92755,29.90510857,29.90462857,29.89226143,29.62266857,30.6048925,30.6053125,32.3377925,32.36884,32.40581143,32.48251375,32.4413225,32.57121125,32.57980375,32.66431375,32.8933425,32.99312,32.98147875,33.09512125
4.531467671,30.375595,29.694015,29.93083429,29.90756143,29.90758714,29.89328,29.62405714,30.605145,30.605345,32.337945,32.36856,32.40536714,32.4771825,32.438085,32.5632275,32.5741225,32.6562125,32.886505,32.98305,32.9753725,33.0946775
4.53200886,30.3937425,29.6974325,29.93411857,29.91001429,29.91054571,29.89447625,29.62544571,30.6053975,30.6053775,32.3380975,32.36828,32.40492286,32.47185125,32.4348475,32.55524375,32.56844125,32.64811125,32.8796675,32.97298,32.96926625,33.09423375
4.53230976,30.41189,29.70085,29.93740286,29.91246714,29.91350429,29.8956725,29.62683429,30.60565,30.60541,32.33825,32.368145,32.40447857,32.46652,32.43161,32.54726,32.56276,32.64001,32.87283,32.96291,32.96316,33.09379
4.532742709,30.42970429,29.70679429,29.94068714,29.91492,29.91646286,29.89686875,29.62822286,30.60617,30.60550429,32.33858,32.36801,32.40403429,32.46175429,32.42900143,32.54008857,32.55701286,32.63159714,32.86386286,32.94979571,32.95359,33.09163857
4.533790439,30.44751857,29.71273857,29.94397143,29.91756429,29.91942143,29.898065,29.62961143,30.60669,30.60559857,32.33891,32.367875,32.40359,32.45698857,32.42639286,32.53291714,32.55126571,32.62318429,32.85489571,32.93668143,32.94402,33.08948714
4.534141123,30.46533286,29.71868286,29.94725571,29.92020857,29.92238,29.89926125,29.631,30.60721,30.60569286,32.33924,32.36774,32.4033,32.45222286,32.42378429,32.52574571,32.54551857,32.61477143,32.84592857,32.92356714,32.93445,33.08733571
4.534563242,30.48314714,29.72462714,29.95054,29.92285286,29.92614286,29.9004575,29.63301,30.60773,30.60578714,32.33957,32.367605,32.40301,32.44745714,32.42117571,32.51857429,32.53977143,32.60635857,32.83696143,32.91045286,32.92488,33.08518429
4.534898772,30.50096143,29.73057143,29.9538775,29.92549714,29.92990571,29.90165375,29.63502,30.60825,30.60588143,32.3399,32.36747,32.40272,32.44269143,32.41856714,32.51140286,32.53402429,32.59794571,32.82799429,32.89733857,32.91531,33.08303286
4.535000513,30.51877571,29.73651571,29.957215,29.92814143,29.93366857,29.90285,29.63703,30.60877,30.60597571,32.34023,32.36741333,32.40243,32.43792571,32.41595857,32.50423143,32.52827714,32.58953286,32.81902714,32.88422429,32.90574,33.08088143
4.53577331,30.53659,29.74246,29.9605525,29.93078571,29.93743143,29.90454714,29.63904,30.60929,30.60607,32.34056,32.36735667,32.40214,32.43316,32.41335,32.49706,32.52253,32.58112,32.81006,32.87111,32.89617,33.07873
4.536264694,30.53341,29.74912857,29.96389,29.93343,29.94119429,29.90624429,29.64105,30.61033286,30.60625429,32.34120429,32.3673,32.40185,32.42955,32.41147429,32.49162571,32.51760571,32.57381286,32.80042571,32.85739286,32.88495857,33.07503
4.537301574,30.53023,29.75579714,29.9672275,29.93615714,29.94495714,29.90794143,29.64306,30.61137571,30.60643857,32.34184857,32.36724333,32.40156,32.42594,32.40959857,32.48619143,32.51268143,32.56650571,32.79079143,32.84367571,32.87374714,33.07133
4.537665237,30.52705,29.76246571,29.970565,29.93888429,29.94872,29.90963857,29.64507,30.61241857,30.60662286,32.34249286,32.36718667,32.4013625,32.42233,32.40772286,32.48075714,32.50775714,32.55919857,32.78115714,32.82995857,32.86253571,33.06763
4.537790787,30.52387,29.76913429,29.9739025,29.94161143,29.9534025,29.91133571,29.64742,30.61346143,30.60680714,32.34313714,32.36713,32.401165,32.41872,32.40584714,32.47532286,32.50283286,32.55189143,32.77152286,32.81624143,32.85132429,33.06393
4.538070028,30.52069,29.77580286,29.97724,29.94433857,29.958085,29.91303286,29.64977,30.61450429,30.60699143,32.34378143,32.367162,32.4009675,32.41511,32.40397143,32.46988857,32.49790857,32.54458429,32.76188857,32.80252429,32.84011286,33.06023
4.538533263,30.51751,29.78247143,29.98024286,29.94706571,29.9627675,29.91473,29.65212,30.61554714,30.60717571,32.34442571,32.367194,32.40077,32.4115,32.40209571,32.46445429,32.49298429,32.53727714,32.75225429,32.78880714,32.82890143,33.05653
4.539238937,30.51433,29.78914,29.98324571,29.94979286,29.96745,29.91669571,29.65447,30.61659,30.60736,32.34507,32.367226,32.4005725,32.40789,32.40022,32.45902,32.48806,32.52997,32.74262,32.77509,32.81769,33.05283
4.539788753,30.49336286,29.79147,29.98624857,29.95252,29.9721325,29.91866143,29.65682,30.61885,30.60773429,32.34634429,32.367258,32.400375,32.40524571,32.39884429,32.45502714,32.48396571,32.52388,32.73276143,32.76159714,32.80573857,33.0478
4.540680576,30.47239571,29.7938,29.98925143,29.95500286,29.976815,29.92062714,29.65917,30.62111,30.60810857,32.34761857,32.36729,32.4001775,32.40260143,32.39746857,32.45103429,32.47987143,32.51779,32.72290286,32.74810429,32.79378714,33.04277
4.540812618,30.45142857,29.79613,29.99225429,29.95748571,29.9814975,29.92259286,29.66152,30.62337,30.60848286,32.34889286,32.36739429,32.39998,32.39995714,32.39609286,32.44704143,32.47577714,32.5117,32.71304429,32.73461143,32.78183571,33.03774
4.541187095,30.43046143,29.79846,29.99525714,29.95996857,29.98618,29.92455857,29.66387,30.62563,30.60885714,32.35016714,32.36749857,32.39984571,32.39731286,32.39471714,32.44304857,32.47168286,32.50561,32.70318571,32.72111857,32.76988429,33.03271
4.541576723,30.40949429,29.80079,29.99826,29.96245143,29.99343714,29.92652429,29.66714,30.62789,30.60923143,32.35144143,32.36760286,32.39971143,32.39466857,32.39334143,32.43905571,32.46758857,32.49952,32.69332714,32.70762571,32.75793286,33.02768
4.542065921,30.38852714,29.80312,29.99840714,29.96493429,30.00069429,29.92849,29.67041,30.63015,30.60960571,32.35271571,32.36770714,32.39957714,32.39202429,32.39196571,32.43506286,32.46349429,32.49343,32.68346857,32.69413286,32.74598143,33.02265
4.54270231,30.36756,29.80545,29.99855429,29.96741714,30.00795143,29.93065857,29.67368,30.63241,30.60998,32.35399,32.36781143,32.39944286,32.38938,32.39059,32.43107,32.4594,32.48734,32.67361,32.68064,32.73403,33.01762
4.543310555,30.34696429,29.80036571,29.99870143,29.9699,30.01520857,29.93282714,29.67695,30.63699571,30.61071143,32.35642286,32.36791571,32.39930857,32.38751429,32.38956286,32.42822286,32.45608857,32.48246429,32.66391714,32.66801571,32.72211143,33.01156286
4.543570304,30.32636857,29.79528143,29.99884857,29.9710175,30.02246571,29.93499571,29.68022,30.64158143,30.61144286,32.35885571,32.36802,32.39917429,32.38564857,32.38853571,32.42537571,32.45277714,32.47758857,32.65422429,32.65539143,32.71019286,33.00550571
