formula,Property Bulk modulus,Property Bulk modulus units
ZrO$_{2}$,235,GPa
BaO,68,GPa
TaSi$_{2}$,186,GPa
CrFeCoNi,174,GPa
BaHfN$_{2}$,107,GPa
ScSiPt$_{2}$,175,GPa
ZnPdF$_{6}$,40,GPa
TlAsPd$_{5}$,136,GPa
Cs$_{2}$Pt,13,GPa
NiSbSe,90,GPa
Sn$_{3}$Pd,65,GPa
Si$_{4}$P$_{4}$Ru,120,GPa
Ca$_{2}$Cu,25,GPa
Ca$_{3}$Hg$_{2}$,30,GPa
MoSe$_{2}$,38,GPa
TaRu,252,GPa
Hf$_{3}$(SiCu)$_{4}$,154,GPa
ZrRe$_{2}$,251,GPa
Be$_{2}$C,201,GPa
CrCo$_{3}$,259,GPa
ZnNiSb,102,GPa
Zr$_{2}$Fe$_{3}$Si,166,GPa
CrIr$_{3}$,307,GPa
ScIr$_{3}$,243,GPa
TaCu$_{3}$S$_{4}$,38,GPa
Zn(ReO$_{4}$)$_{2}$,23,GPa
LiF,70,GPa
CrSi$_{2}$,196,GPa
VRu,252,GPa
ZrMn$_{2}$,157,GPa
Mg$_{5}$Hg$_{3}$,43,GPa
VRh$_{3}$,251,GPa
MnZn$_{3}$,88,GPa
Li$_{2}$SbPd,66,GPa
Na$_{2}$Se,26,GPa
V$_{2}$AsC,203,GPa
Rb$_{2}$Pd$_{3}$S$_{4}$,24,GPa
Li$_{2}$CuSb,53,GPa
Cu$_{3}$Sn,107,GPa
NbS$_{2}$,45,GPa
Li$_{2}$AgSb,47,GPa
HfAl$_{2}$,120,GPa
ScZn,75,GPa
Te$_{2}$O$_{5}$,55,GPa
AlVNi$_{2}$,177,GPa
Ti$_{2}$C,139,GPa
Ca$_{3}$Al$_{7}$Ag$_{2}$,63,GPa
K$_{2}$S,19,GPa
Ca$_{3}$(SiIr)$_{4}$,132,GPa
Be$_{3}$Nb,155,GPa
Al$_{6}$Re,113,GPa
MnZn,115,GPa
Nb$_{4}$CoSi,191,GPa
Tc,300,GPa
Al$_{3}$Ni$_{2}$,130,GPa
ZrHg$_{3}$,82,GPa
BaF$_{2}$,54,GPa
B$_{6}$O,230,GPa
FeNi$_{3}$,203,GPa
NiGe,137,GPa
Ba(AlSi)$_{2}$,48,GPa
AsPdSe,94,GPa
Zn(GaTe$_{2}$)$_{2}$,28,GPa
Sc$_{2}$AlSi$_{2}$,102,GPa
PrB$_{6}$,174,GPa
Sc$_{6}$FeTe$_{2}$,68,GPa
ScRe$_{2}$,226,GPa
NiB,262,GPa
Yb(MgSb)$_{2}$,41,GPa
UO$_{2}$,200,GPa
ScBe$_{5}$,109,GPa
ScInCu$_{4}$,112,GPa
Ti$_{3}$Sb,120,GPa
Na$_{3}$SbS$_{4}$,20,GPa
CdSbAu,71,GPa
Mg(BeN)$_{2}$,185,GPa
SrAl$_{2}$,48,GPa
MoRh,267,GPa
HgO,27,GPa
CeAu,68,GPa
Rb$_{2}$Se,14,GPa
HfSnPd,122,GPa
Li$_{2}$ZnGe,48,GPa
HfGa$_{3}$,103,GPa
MnSi,210,GPa
SiPt$_{3}$,207,GPa
Al$_{3}$Pd$_{5}$,156,GPa
Sc$_{2}$Al,71,GPa
ThC,139,GPa
CaAu,48,GPa
AlCrNi$_{2}$,162,GPa
Al$_{2}$Ru,168,GPa
Cs$_{2}$Pt$_{3}$Se$_{4}$,22,GPa
HfPd$_{3}$,179,GPa
Mn$_{2}$Nb,233,GPa
Be$_{2}$V,160,GPa
CdAu$_{3}$,116,GPa
Zr(NiP)$_{2}$,177,GPa
Hf$_{6}$NiSb$_{2}$,127,GPa
Be$_{12}$Mo,141,GPa
Ni$_{3}$Mo,230,GPa
ScAlCu$_{2}$,108,GPa
MgSbPt,89,GPa
Sb,39,GPa
Sc$_{3}$TlB,74,GPa
Mn$_{2}$CoSi,211,GPa
Na$_{2}$CoP$_{2}$O$_{7}$,45,GPa
PbS,34,GPa
BaNiSn$_{3}$,56,GPa
Hf$_{2}$Ga$_{3}$,117,GPa
Cr$_{2}$GaN,173,GPa
TiCdO$_{3}$,153,GPa
HfSiSe,106,GPa
CsAlO$_{2}$,93,GPa
