x	y_obs
107.39	52072
107.49	53842
107.59	55410
107.69	57343
107.79	58907
107.89	60077
107.99	60867
108.09	62225
108.19	62369
108.29	62765
108.39	62794
108.49	62029
108.59	60923
108.69	60165
108.79	59417
108.89	57130
108.99	55612
109.09	54037
109.19	52328
109.29	50454
109.39	49441
109.49	47596
109.59	46421
109.69	45064
109.79	43760
109.89	42585
109.99	42281
110.09	40977
110.19	40490
110.29	39372
110.39	39063
110.49	39036
110.59	38583
110.69	38170
110.79	37807
110.89	37638
110.99	37199
111.09	38134
111.19	37538
111.29	37251
111.39	37188
111.49	37489
111.59	37419
111.69	36855
111.79	37264
111.89	37171
111.99	36813
112.09	37086
112.19	37128
112.29	37213
112.39	36999
112.49	37070
112.59	37001
112.69	36880
112.79	36820
112.89	37045
112.99	37082
113.09	36907
113.19	36926
113.29	37214
113.39	37348
113.49	36867
113.59	37150
113.69	37005
113.79	36732
113.89	37154
113.99	36884
114.09	37240
114.19	36902
114.29	36563
114.39	36494
114.49	36126
114.59	36654
114.69	36633
114.79	36420
114.89	36303
114.99	36329
115.09	36437
115.19	36342
115.29	35881
115.39	35952
115.49	35950
115.59	36335
115.69	36256
115.79	36122
115.89	35780
115.99	36203
116.09	36185
116.19	36611
116.29	36320
116.39	36019
116.49	35763
116.59	35959
116.69	36133
116.79	35879
116.89	36057
116.99	36047
117.09	36282
117.19	36212
117.29	36250
117.39	36012
117.49	36140
117.59	36308
117.69	36399
117.79	35992
117.89	35999
117.99	35909
118.09	36264
118.19	36498
118.29	36107
118.39	36370
118.49	36477
118.59	35910
118.69	36705
118.79	36317
118.89	36597
118.99	36377
119.09	36336
119.19	36258
119.29	36464
119.39	36513
119.49	37108
119.59	37278
119.69	37212
119.79	36582
119.89	37283
119.99	37591
120.09	37951
120.19	37523
120.29	37784
120.39	38018
120.49	38454
120.59	38487
120.69	38826
120.79	39115
120.89	39856
120.99	40681
121.09	41152
121.19	41545
121.29	42842
121.39	43886
121.49	44827
121.59	46430
121.69	47929
121.79	49969
121.89	52227
121.99	53713
122.09	56130
122.19	58425
122.29	61245
122.39	63531
122.49	66420
122.59	69604
122.69	72445
122.79	75732
122.89	78090
122.99	81544
123.09	84200
123.19	87495
123.29	90355
123.39	92947
123.49	94779
123.59	96320
123.69	98208
123.79	99043
123.89	99992
123.99	99166
124.09	99067
124.19	97937
124.29	96458
124.39	94708
124.49	93306
124.59	90322
124.69	87031
124.79	83262
124.89	80840
124.99	78363
125.09	75471
125.19	72576
125.29	69574
125.39	66639
125.49	63681
125.59	60765
125.69	58201
125.79	55947
125.89	53571
125.99	51909
126.09	50032
126.19	48618
126.29	47052
126.39	45576
126.49	44608
126.59	43615
126.69	43020
126.79	41760
126.89	41264
126.99	40941
127.09	40059
127.19	39746
127.29	38973
127.39	38333
127.49	38485
127.59	37838
127.69	37816
127.79	37496
127.89	37401
127.99	37123
128.09	37066
128.19	36923
128.29	36765
128.39	36646
128.49	36503
