x	y_obs	y_bkg
23.616	1148	1145.77
23.633	1146	1145.75
23.65	1122	1145.729
23.667	1159	1145.709
23.684	1162	1145.689
23.701	1163	1145.668
23.718	1160	1145.648
23.735	1156	1145.628
23.752	1171	1145.607
23.769	1134	1145.587
23.786	1203	1145.567
23.803	1140	1145.547
23.82	1116	1145.526
23.837	1124	1145.506
23.854	1174	1145.486
23.871	1152	1145.466
23.888	1169	1145.445
23.905	1191	1145.425
23.922	1123	1145.405
23.939	1152	1145.385
23.956	1166	1145.365
23.973	1163	1145.344
23.99	1192	1145.324
24.007	1227	1145.304
24.024	1168	1145.284
24.041	1144	1145.264
24.058	1163	1145.244
24.075	1182	1145.223
24.092	1136	1145.203
24.109	1203	1145.183
24.126	1160	1145.163
24.143	1125	1145.143
24.16	1189	1145.123
24.177	1185	1145.103
24.194	1135	1145.083
24.211	1134	1145.063
24.228	1124	1145.043
24.245	1165	1145.022
24.262	1179	1145.002
24.279	1214	1144.982
24.296	1227	1144.962
24.313	1197	1144.942
24.33	1149	1144.922
24.347	1122	1144.902
24.364	1151	1144.882
24.381	1147	1144.862
24.398	1139	1144.842
24.415	1135	1144.822
24.432	1159	1144.802
24.449	1157	1144.782
24.466	1154	1144.762
24.483	1185	1144.742
24.5	1190	1144.722
24.517	1173	1144.702
24.534	1181	1144.682
24.551	1214	1144.662
24.568	1163	1144.642
24.585	1156	1144.623
24.602	1162	1144.603
24.619	1148	1144.583
24.636	1140	1144.563
24.653	1172	1144.543
24.67	1171	1144.523
24.687	1160	1144.503
24.704	1173	1144.483
24.721	1201	1144.463
24.738	1171	1144.443
24.755	1186	1144.423
24.772	1184	1144.403
24.789	1111	1144.384
24.806	1162	1144.364
24.823	1235	1144.344
24.84	1159	1144.324
24.857	1181	1144.304
24.874	1141	1144.284
24.891	1142	1144.264
24.908	1143	1144.245
24.925	1173	1144.225
24.942	1140	1144.205
24.959	1152	1144.185
24.976	1162	1144.165
24.993	1140	1144.25
25.01	1194	1144.231
25.027	1168	1144.211
25.044	1143	1144.192
25.061	1171	1144.173
25.078	1179	1144.153
25.095	1133	1144.134
25.112	1151	1144.115
25.129	1204	1144.095
25.146	1173	1144.076
25.163	1169	1144.057
25.18	1159	1144.037
25.197	1158	1144.018
25.214	1197	1143.999
25.231	1200	1143.979
25.248	1180	1143.96
25.265	1179	1143.941
25.282	1157	1143.921
25.299	1146	1143.902
25.316	1166	1143.883
25.333	1189	1143.864
25.35	1231	1143.844
25.367	1201	1143.825
25.384	1143	1143.806
25.401	1134	1143.787
25.418	1147	1143.767
25.435	1129	1143.748
25.452	1107	1143.729
25.469	1133	1143.71
25.486	1172	1143.691
25.503	1178	1143.671
25.52	1177	1143.652
25.537	1179	1143.633
25.554	1120	1143.614
25.571	1156	1143.595
25.588	1144	1143.576
25.605	1190	1143.556
25.622	1196	1143.537
25.639	1187	1143.518
25.656	1096	1143.499
25.673	1157	1143.48
25.69	1131	1143.461
25.707	1124	1143.442
25.724	1165	1143.422
25.741	1222	1143.403
25.758	1158	1143.384
25.775	1206	1143.365
25.792	1198	1143.346
25.809	1123	1143.327
25.826	1177	1143.308
25.843	1161	1143.289
25.86	1165	1143.27
25.877	1185	1143.251
25.894	1125	1143.232
25.911	1152	1143.213
25.928	1150	1143.194
25.945	1190	1143.175
25.962	1151	1143.156
25.979	1212	1143.137
25.996	1209	1143.118
26.013	1143	1143.099
26.03	1095	1143.08
26.047	1122	1143.061
26.064	1158	1143.042
26.081	1152	1143.023
26.098	1110	1143.004
26.115	1159	1142.985
26.132	1136	1142.966
26.149	1147	1142.947
26.166	1133	1142.928
26.183	1140	1142.909
26.2	1158	1142.89
26.217	1163	1142.871
26.234	1172	1142.852
26.251	1165	1142.833
26.268	1130	1142.814
26.285	1147	1142.796
26.302	1165	1142.777
26.319	1176	1142.758
26.336	1164	1142.739
26.353	1162	1142.72
26.37	1160	1142.701
26.387	1155	1142.682
26.404	1173	1142.664
26.421	1183	1142.645
26.438	1141	1142.626
26.455	1124	1142.607
26.472	1148	1142.588
26.489	1179	1142.57
26.506	1144	1142.551
26.523	1151	1142.532
26.54	1146	1142.513
26.557	1166	1142.495
26.574	1173	1142.476
26.591	1116	1142.457
26.608	1098	1142.438
26.625	1118	1142.42
26.642	1134	1142.401
26.659	1154	1142.382
26.676	1155	1142.364
26.693	1213	1142.345
26.71	1190	1142.326
26.727	1164	1142.307
26.744	1178	1142.289
26.761	1140	1142.27
26.778	1119	1142.252
26.795	1132	1142.233
26.812	1102	1142.214
26.829	1154	1142.196
26.846	1106	1142.177
26.863	1224	1142.159
26.88	1097	1142.14
26.897	1230	1142.121
26.914	1244	1142.103
26.931	1168	1142.084
26.948	1153	1142.066
26.965	1153	1142.047
26.982	1149	1142.029
26.999	1174	1142.01
27.016	1167	1141.992
27.033	1106	1141.973
27.05	1127	1141.931
27.067	1181	1141.912
27.084	1183	1141.894
27.101	1130	1141.876
27.118	1127	1141.857
27.135	1144	1141.839
27.152	1158	1141.821
27.169	1129	1141.802
27.186	1150	1141.784
27.203	1146	1141.766
27.22	1130	1141.748
27.237	1125	1141.729
27.254	1134	1141.711
27.271	1148	1141.693
27.288	1185	1141.675
27.305	1182	1141.656
27.322	1147	1141.638
27.339	1159	1141.62
27.356	1131	1141.602
27.373	1148	1141.584
27.39	1126	1141.566
27.407	1120	1141.548
27.424	1173	1141.529
27.441	1191	1141.511
27.458	1175	1141.493
27.475	1178	1141.475
27.492	1161	1141.457
27.509	1186	1141.439
27.526	1195	1141.421
27.543	1176	1141.403
27.56	1167	1141.385
27.577	1133	1141.367
27.594	1142	1141.349
27.611	1206	1141.331
27.628	1101	1141.313
27.645	1148	1141.295
27.662	1126	1141.277
27.679	1094	1141.259
27.696	1141	1141.242
27.713	1185	1141.224
27.73	1094	1141.206
27.747	1113	1141.188
27.764	1141	1141.17
27.781	1173	1141.152
27.798	1146	1141.135
27.815	1190	1141.117
27.832	1134	1141.099
27.849	1147	1141.081
27.866	1079	1141.064
27.883	1132	1141.046
27.9	1129	1141.028
27.917	1109	1141.011
27.934	1131	1140.993
27.951	1123	1140.975
27.968	1200	1140.958
27.985	1137	1140.94
28.002	1112	1140.923
28.019	1157	1140.905
28.036	1170	1140.887
28.053	1099	1140.87
28.07	1134	1140.852
28.087	1135	1140.835
28.104	1146	1140.818
28.121	1172	1140.8
28.138	1140	1140.783
28.155	1099	1140.765
28.172	1103	1140.748
28.189	1122	1140.731
28.206	1140	1140.972
28.223	1100	1140.956
28.24	1117	1140.939
28.257	1139	1140.923
28.274	1106	1140.907
28.291	1142	1140.89
28.308	1143	1140.874
28.325	1150	1140.858
28.342	1146	1140.842
28.359	1124	1140.825
28.376	1143	1140.809
28.393	1118	1140.793
28.41	1147	1140.777
28.427	1184	1140.761
28.444	1143	1140.745
28.461	1128	1140.729
28.478	1124	1140.713
28.495	1099	1140.697
28.512	1119	1140.681
28.529	1180	1140.665
28.546	1147	1140.649
28.563	1159	1140.633
28.58	1156	1140.617
28.597	1094	1140.602
28.614	1141	1140.586
28.631	1095	1140.57
28.648	1138	1140.555
28.665	1090	1140.539
28.682	1109	1140.524
28.699	1086	1140.508
28.716	1098	1140.493
28.733	1124	1140.477
28.75	1123	1140.462
28.767	1126	1140.446
28.784	1188	1140.431
28.801	1099	1140.416
28.818	1154	1140.401
28.835	1146	1140.385
28.852	1104	1140.37
28.869	1135	1140.355
28.886	1155	1140.34
28.903	1158	1140.325
28.92	1197	1140.31
28.937	1138	1140.295
28.954	1136	1140.281
28.971	1136	1140.266
28.988	1172	1140.251
29.005	1152	1140.237
29.022	1147	1140.222
29.039	1179	1140.207
29.056	1143	1140.193
29.073	1188	1140.178
29.09	1155	1140.164
29.107	1123	1140.15
29.124	1129	1140.135
29.141	1105	1140.121
29.158	1133	1140.107
29.175	1185	1140.093
29.192	1157	1140.079
29.209	1166	1140.065
29.226	1168	1140.051
29.243	1154	1140.037
29.26	1134	1140.024
29.277	1156	1140.01
29.294	1147	1139.996
29.311	1150	1139.983
29.328	1163	1139.969
29.345	1137	1139.956
29.362	1116	1139.943
29.379	1100	1139.929
29.396	1110	1139.916
29.413	1130	1139.903
29.43	1163	1139.89
29.447	1146	1139.877
29.464	1186	1139.864
29.481	1190	1139.852
29.498	1154	1139.839
29.515	1151	1139.827
29.532	1164	1139.814
29.549	1125	1139.802
29.566	1162	1139.789
29.583	1108	1139.777
29.6	1161	1139.765
29.617	1157	1139.753
29.634	1165	1139.741
29.651	1149	1139.73
29.668	1103	1139.718
29.685	1195	1139.706
29.702	1164	1139.695
29.719	1175	1139.684
29.736	1164	1139.672
29.753	1158	1139.661
29.77	1214	1139.65
29.787	1167	1139.639
29.804	1115	1139.629
29.821	1173	1139.618
29.838	1165	1139.608
29.855	1165	1139.597
29.872	1150	1139.587
29.889	1159	1139.577
29.906	1098	1139.567
29.923	1194	1139.557
29.94	1128	1139.548
29.957	1128	1139.538
29.974	1117	1139.529
29.991	1112	1139.52
30.008	1102	1139.511
30.025	1156	1139.502
30.042	1165	1139.493
30.059	1162	1139.485
30.076	1148	1139.477
30.093	1135	1139.469
30.11	1144	1139.461
30.127	1133	1139.453
30.144	1148	1139.445
30.161	1143	1139.438
30.178	1174	1139.431
30.195	1161	1139.424
30.212	1178	1139.417
30.229	1168	1139.411
30.246	1183	1139.405
30.263	1213	1139.399
30.28	1204	1139.393
30.297	1201	1139.387
30.314	1209	1139.382
30.331	1173	1139.377
30.348	1132	1139.372
30.365	1163	1139.368
30.382	1188	1139.363
30.399	1165	1139.359
30.416	1142	1139.356
30.433	1161	1139.352
30.45	1202	1139.349
30.467	1220	1139.347
30.484	1153	1139.344
30.501	1174	1139.342
30.518	1193	1139.341
30.535	1124	1139.339
30.552	1135	1139.338
30.569	1145	1139.337
30.586	1139	1139.337
30.603	1129	1139.337
