x	y_obs
29.124	1129
29.141	1105
29.158	1133
29.175	1185
29.192	1157
29.209	1166
29.226	1168
29.243	1154
29.26	1134
29.277	1156
29.294	1147
29.311	1150
29.328	1163
29.345	1137
29.362	1116
29.379	1100
29.396	1110
29.413	1130
29.43	1163
29.447	1146
29.464	1186
29.481	1190
29.498	1154
29.515	1151
29.532	1164
29.549	1125
29.566	1162
29.583	1108
29.6	1161
29.617	1157
29.634	1165
29.651	1149
29.668	1103
29.685	1195
29.702	1164
29.719	1175
29.736	1164
29.753	1158
29.77	1214
29.787	1167
29.804	1115
29.821	1173
29.838	1165
29.855	1165
29.872	1150
29.889	1159
29.906	1098
29.923	1194
29.94	1128
29.957	1128
29.974	1117
29.991	1112
30.008	1102
30.025	1156
30.042	1165
30.059	1162
30.076	1148
30.093	1135
30.11	1144
30.127	1133
30.144	1148
30.161	1143
30.178	1174
30.195	1161
30.212	1178
30.229	1168
30.246	1183
30.263	1213
30.28	1204
30.297	1201
30.314	1209
30.331	1173
30.348	1132
30.365	1163
30.382	1188
30.399	1165
30.416	1142
30.433	1161
30.45	1202
30.467	1220
30.484	1153
30.501	1174
30.518	1193
30.535	1124
30.552	1135
30.569	1145
30.586	1139
30.603	1129
30.62	1157
30.637	1131
30.654	1181
30.671	1145
30.688	1158
30.705	1196
30.722	1198
30.739	1167
30.756	1164
30.773	1126
30.79	1137
30.807	1186
30.824	1139
30.841	1156
30.858	1130
30.875	1136
30.892	1115
30.909	1136
30.926	1124
30.943	1117
30.96	1174
30.977	1126
30.994	1137
31.011	1118
31.028	1185
31.045	1186
31.062	1165
31.079	1153
31.096	1198
31.113	1177
31.13	1133
31.147	1123
31.164	1111
31.181	1123
31.198	1133
31.215	1134
31.232	1140
31.249	1181
31.266	1200
31.283	1146
31.3	1096
31.317	1137
31.334	1175
31.351	1164
31.368	1162
31.385	1182
31.402	1176
31.419	1152
31.436	1150
31.453	1165
31.47	1165
31.487	1134
31.504	1145
31.521	1125
31.538	1156
31.555	1140
31.572	1138
31.589	1220
31.606	1202
31.623	1159
31.64	1170
31.657	1187
31.674	1126
31.691	1163
31.708	1180
31.725	1190
31.742	1211
31.759	1117
31.776	1147
31.793	1100
31.81	1147
31.827	1187
31.844	1142
31.861	1170
31.878	1177
31.895	1126
31.912	1128
31.929	1185
31.946	1199
31.963	1165
31.98	1167
31.997	1117
32.014	1159
32.031	1128
32.048	1168
32.065	1141
32.082	1170
32.099	1183
32.116	1183
32.133	1188
32.15	1154
32.167	1166
32.184	1167
32.201	1163
32.218	1130
32.235	1142
32.252	1166
32.269	1137
32.286	1139
32.303	1107
32.32	1103
32.337	1135
32.354	1159
32.371	1118
32.388	1141
32.405	1136
32.422	1131
32.439	1149
32.456	1167
32.473	1130
32.49	1178
32.507	1209
32.524	1176
32.541	1166
32.558	1186
32.575	1163
32.592	1205
32.609	1194
32.626	1177
32.643	1260
32.66	1213
32.677	1225
32.694	1295
32.711	1309
32.728	1269
32.745	1243
32.762	1311
32.779	1322
